tweet_id,account_id,likes,replies,retweets,tweet,time,year_month_day
1094,11,46.0,13.0,1.0,"Please, please, please let #Invest92L miraculously get a name first so I'm not chasing something as silly-sounding as #Hurricane #HARVEY.",2017-08-17 19:04:00,2017-8-17
7271,73,3.0,2.0,0.0,there's a new hurricane called hurricane harvey  sounds like someone i know,2017-08-17 21:39:00,2017-8-17
13222,133,1.0,1.0,0.0,Greg Hurricane Harvey has a certain ring to it!,2017-08-17 21:23:00,2017-8-17
25917,260,0.0,0.0,0.0,Hurricane Harvey.,2017-08-17 17:31:00,2017-8-17
28861,289,1.0,0.0,0.0,Atlantic tropical depression could grow into #HURRICANE Harvey http://gpwx.news/xcmqb  #GPWX,2017-08-17 19:29:00,2017-8-17
36628,367,0.0,0.0,0.0,(Atlantic tropical depression could grow into Hurricane Harvey) - Xania News - https://xanianews.com/atlantic-tropical-depression-could-grow-into-hurricane-harvey/  #XaniaNewspic.twitter.com/Wzr6Y7kKEO,2017-08-17 19:48:00,2017-8-17
38731,388,0.0,0.0,0.0,Atlantic tropical depression could grow into Hurricane Harvey http://ow.ly/lV0e50dvevH ,2017-08-17 21:45:00,2017-8-17
77866,779,0.0,0.0,0.0,"Until Tropical Storm Harvey becomes Hurricane Harvey. . .
http://www.youtube.com/watch?v=AL9ic-AWOSc&t=0m45s ",2017-08-17 21:48:00,2017-8-17
86867,869,0.0,0.0,0.0,#USA #UPI #NEWS broadcast by #EMET_NEWS_PRESS Atlantic tropical depression could grow into Hurricane Harvey http://ow.ly/SoHo50dv8hK ,2017-08-17 19:45:00,2017-8-17
122851,1229,0.0,0.0,0.0,Potential TC 9 will probably become Hurricane Harvey before all is said and done. #hurricane #Atlantic,2017-08-17 15:41:00,2017-8-17
123087,1231,0.0,0.0,0.0,#USA #UPI #NEWS broadcast by #EMET_NEWS_PRESS: Atlantic tropical depression could grow into Hurricane Harvey http://ow.ly/I7vc50dv7F2 ,2017-08-17 19:30:00,2017-8-17
137484,1375,0.0,0.0,0.0,New post (Atlantic tropical depression could grow into Hurricane Harvey) has been published on Online News Gazette - https://www.onlinenewsgazette.com/2017/08/17/atlantic-tropical-depression-could-grow-into-hurricane-harvey/ pic.twitter.com/lwPmEosS8w,2017-08-17 19:54:00,2017-8-17
198059,1981,0.0,0.0,0.0,Atlantic tropical depression could grow into Hurricane Harvey https://upi.com/6619620t  via @upi,2017-08-17 21:09:00,2017-8-17
210968,2110,0.0,0.0,0.0,Atlantic tropical depression could grow into Hurricane Harvey https://www.upi.com/Top_News/World-News/2017/08/17/Atlantic-tropical-depression-could-grow-into-Hurricane-Harvey/2771502996908/?utm_source=dlvr.it&utm_medium=twitter ,2017-08-17 19:26:00,2017-8-17
214970,2150,0.0,0.0,0.0,Hurricane Harvey hunh ,2017-08-17 18:17:00,2017-8-17
238461,2385,2.0,0.0,0.0,"oh fantastic, hurricane 'harvey' is on its way lmaoooooo #rip",2017-08-17 22:04:00,2017-8-17
246963,2470,0.0,0.0,0.0,"CMC has shifted to the west coast of Florida, but moved slightly east, shows a Cat. 1 Hurricane #Harvey in about a week.pic.twitter.com/HE7rlpR8Db",2017-08-17 04:41:00,2017-8-17
251016,2511,6.0,0.0,1.0,"Been a while since there has been a hurricane Harvey, if any hurricane takes me out, it better be this one ",2017-08-17 22:29:00,2017-8-17
252583,2526,1.0,1.0,0.0,Hurricane Harvey is about to hit us here in #Barbados so lets have this to while away the evening!pic.twitter.com/GaejwL5IfK,2017-08-17 23:26:00,2017-8-17
253802,2539,0.0,0.0,0.0,Hurricane Harvey ,2017-08-17 22:31:00,2017-8-17
265654,2657,0.0,0.0,2.0,"Potential Tropical Cyclone Nine named, is tracking toward Central America, and favored to become Hurricane Harvey along the way. pic.twitter.com/bR1Hd2wB5l",2017-08-17 15:08:00,2017-8-17
286400,2865,0.0,0.0,0.0,Likely hurricane Harvey at the end of this week or early next week. #b1derground #radarwatchersteam https://www.instagram.com/p/BX5sPhFDH-F/ ,2017-08-17 16:21:00,2017-8-17
289976,2900,0.0,0.0,0.0,A Cat. 2 Hurricane #Harvey possible in the next few days. Still has a chance to move closer to FL. #flwxpic.twitter.com/2Vw1T4ScX0,2017-08-17 17:13:00,2017-8-17
293222,2933,0.0,0.0,0.0,Atlantic tropical depression could grow into Hurricane Harvey http://ow.ly/AUFs50dvbBg ,2017-08-17 21:00:00,2017-8-17
297437,2975,0.0,0.0,0.0,Harvey in the making. Tropical disturbance getting organized. Could potentially be a hurricane #Harvey #tropicspic.twitter.com/Wbfux0Zi1Y,2017-08-17 18:35:00,2017-8-17
298632,2987,2.0,1.0,1.0,"The NHC forecasts a tropical wave to become Hurricane Harvey by Monday morning, 8/21. Heads-up Caribbean! pic.twitter.com/tcghFdd6yp",2017-08-17 16:32:00,2017-8-17
298661,2987,0.0,0.0,0.0,Atlantic tropical depression could grow into Hurricane Harvey http://ift.tt/2wTN6Jz ,2017-08-17 19:32:00,2017-8-17
325873,3259,7.0,0.0,15.0,Atlantic tropical depression could grow into Hurricane Harvey https://www.upi.com/Top_News/World-News/2017/08/17/Atlantic-tropical-depression-could-grow-into-Hurricane-Harvey/2771502996908/?utm_source=dlvr.it&utm_medium=twitter ,2017-08-17 19:26:00,2017-8-17
326843,3269,1.0,1.0,0.0,"On the eve of our Hurricane Tour, we might want to keep an eye out for what may become Hurricane Harvey. pic.twitter.com/TKxnb8BlEm",2017-08-17 22:11:00,2017-8-17
337327,3374,17.0,0.0,4.0,We now have Potential Tropical Cyclone Nine which is forecast to become Hurricane Harvey early next week and stay in southern Caribbean pic.twitter.com/S3cKFldSsu,2017-08-17 15:13:00,2017-8-17
349454,3495,1.0,0.0,0.0,Very low at this point; the first one (TD 9) is likely to become Hurricane Harvey and head to Central America; 2nd may head towards Florida,2017-08-17 16:02:00,2017-8-17
375618,3757,0.0,0.0,0.0,Atlantic tropical depression could grow into Hurricane Harvey https://goo.gl/fb/rGd6f9 ,2017-08-17 19:42:00,2017-8-17
378523,3786,0.0,0.0,0.0,Atlantic tropical depression could grow into Hurricane Harvey http://ift.tt/2wTN6Jz ,2017-08-17 19:26:00,2017-8-17
380426,3805,14.0,2.0,1.0,Hurricane #Harvey hitting the Caribbean twice @ScottHarvey78pic.twitter.com/AFrrjnaucP,2017-08-17 23:56:00,2017-8-17
387557,3876,2.0,0.0,0.0,"The NHC forecasts a tropical wave to become Hurricane Harvey by Monday morning, 8/21. Heads-up Caribbean! pic.twitter.com/YjQYEHHDpV",2017-08-17 16:32:00,2017-8-17
392136,3922,2.0,0.0,1.0,"The NHC forecasts a tropical wave to become Hurricane Harvey by Monday morning, 8/21. Heads-up Caribbean! pic.twitter.com/cg6ZOZ2dRK",2017-08-17 16:32:00,2017-8-17
